Sample#,Rotation
0, 79.3803
1, 79.9079
2, 80.4354
3, 80.9629
4, 81.4905
5, 82.0180
6, 82.5455
7, 83.0731
8, 83.6006
9, 84.1281
10, 84.6557
11, 85.1832
12, 85.7107
13, 86.2383
14, 86.7658
15, 87.2933
16, 87.8209
17, 88.3484
18, 88.8759
19, 89.4035
20, 89.9310
21, 90.4585
22, 90.9861
23, 91.5136
24, 92.0411
25, 92.5687
26, 93.0962
27, 93.6238
28, 94.1513
29, 94.6788
30, 95.2064
31, 95.7339
32, 96.2614
33, 96.7890
34, 97.3165
35, 97.8440
36, 98.3716
37, 98.8991
38, 99.4266
39, 99.9542
40, 100.4817
41, 101.0092
42, 101.5368
43, 102.0643
44, 102.5918
45, 103.1194
46, 103.6469
47, 104.1744
48, 104.7020
49, 105.2295
50, 105.7570
51, 106.2846
52, 106.8121
53, 107.3396
54, 107.8672
55, 108.3947
56, 108.9222
57, 109.4498
58, 109.9773
59, 110.5048
60, 111.0324
61, 111.5599
62, 112.0874
63, 112.6150
64, 113.1425
65, 113.6700
66, 114.1976
67, 114.7251
68, 115.2526
69, 115.7802
70, 116.3077
71, 116.8352
72, 117.3628
73, 117.8903
74, 118.4178
75, 118.9454
76, 119.4729
77, 120.0004
78, 120.5280
79, 121.0555
80, 121.5830
81, 122.1106
82, 122.6381
83, 123.1656
84, 123.6932
85, 124.2207
86, 124.7482
87, 125.2758
88, 125.8033
89, 126.3308
90, 126.8584
91, 127.3859
92, 127.9134
93, 128.4410
94, 128.9685
95, 129.4960
96, 130.0236
97, 130.5511
98, 131.0786
99, 131.6062
100, 132.1337
101, 132.6612
102, 133.1888
103, 133.7163
104, 134.2438
105, 134.7714
106, 135.2989
107, 135.8264
108, 136.3540
109, 136.8815
110, 137.4090
111, 137.9366
112, 138.4641
113, 138.9916
114, 139.5192
115, 140.0467
116, 140.5742
117, 141.1018
118, 141.6293
119, 142.1568
120, 142.6844
121, 143.2119
122, 143.7394
123, 144.2670
124, 144.7945
125, 145.3220
126, 145.8496
127, 146.3771
128, 146.9046
129, 147.4322
130, 147.9597
131, 148.4872
132, 149.0148
133, 149.5423
134, 150.0698
135, 150.5974
136, 151.1249
137, 151.6524
138, 152.1800
139, 152.7075
140, 153.2350
141, 153.7626
142, 154.2901
143, 154.8176
144, 155.3452
145, 155.8727
146, 156.4002
147, 156.9278
148, 157.4553
149, 157.9828
150, 158.5104
151, 159.0379
152, 159.5654
153, 160.0930
154, 160.6205
155, 161.1480
156, 161.6756
157, 162.2031
158, 162.7306
159, 163.2582
160, 163.7857
161, 164.3132
162, 164.8408
163, 165.3683
164, 165.8958
165, 166.4234
166, 166.9509
167, 167.4784
168, 168.0060
169, 168.5335
170, 169.0610
171, 169.5886
172, 170.1161
173, 170.6436
174, 171.1712
175, 171.6987
176, 172.2262
177, 172.7538
178, 173.2813
179, 173.8088
180, 174.3364
181, 174.8639
182, 175.3915
183, 175.9190
184, 176.4465
185, 176.9741
186, 177.5016
187, 178.0291
188, 178.5567
189, 179.0842
190, 179.6117
191, 180.1393
192, 180.6668
193, 181.1943
194, 181.7219
195, 182.2494
196, 182.7769
197, 183.3045
198, 183.8320
199, 184.3595
200, 184.8871
201, 185.4146
202, 185.9421
203, 186.4697
204, 186.9972
205, 187.5247
206, 188.0523
207, 188.5798
208, 189.1073
209, 189.6349
210, 190.1624
211, 190.6899
212, 191.2175
213, 191.7450
214, 192.2725
215, 192.8001
216, 193.3276
217, 193.8551
218, 194.3827
219, 194.9102
220, 195.4377
221, 195.9653
222, 196.4928
223, 197.0203
224, 197.5479
225, 198.0754
226, 198.6029
227, 199.1305
228, 199.6580
229, 200.1855
230, 200.7131
231, 201.2406
232, 201.7681
233, 202.2957
234, 202.8232
235, 203.3507
236, 203.8783
237, 204.4058
238, 204.9333
239, 205.4609
240, 205.9884
241, 206.5159
242, 207.0435
243, 207.5710
244, 208.0985
245, 208.6261
246, 209.1536
247, 209.6811
248, 210.2087
249, -148.7363
250, -148.8101
251, -148.8839
252, -148.9578
253, -149.0316
254, -149.1055
255, -149.1793
256, -149.2531
257, -149.3270
258, -149.4008
259, -149.4746
260, -149.5485
261, -149.6223
262, -149.6962
263, -149.7700
264, -149.8438
265, -149.9177
266, -149.9915
267, -150.0653
268, -150.1392
269, -150.2130
270, -150.2869
271, -150.3607
272, -150.4345
273, -150.5084
274, -150.5822
275, -150.6561
276, -150.7299
277, -150.8037
278, -150.8776
279, -150.9514
280, -151.0252
281, -151.0991
282, -151.1729
283, -151.2468
284, -151.3206
285, -151.3944
286, -151.4683
287, -151.5421
288, -151.6159
289, -151.6898
290, -151.7636
291, -151.8375
292, -151.9113
293, -151.9851
294, -152.0590
295, -152.1328
296, -152.2066
297, -152.2805
298, -152.3543
299, -152.4282
300, -152.5020
301, -152.5758
302, -152.6497
303, -152.7235
304, -152.7974
305, -152.8712
306, -152.9450
307, -153.0189
308, -153.0927
309, -153.1665
310, -153.2404
311, -153.3142
312, -153.3881
313, -153.4619
314, -153.5357
315, -153.6096
316, -153.6834
317, -153.7572
318, -153.8311
319, -153.9049
320, -153.9788
321, -154.0526
322, -154.1264
323, -154.2003
324, -154.2741
325, -154.3479
326, -154.4218
327, -154.4956
328, -154.5695
329, -154.6433
330, -154.7171
331, -154.7910
332, -154.8648
333, -154.9386
334, -155.0125
335, -155.0863
336, -155.1602
337, -155.2340
338, -155.3078
339, -155.3817
340, -155.4555
341, -155.5294
342, -155.6032
343, -155.6770
344, -155.7509
345, -155.8247
346, -155.8985
347, -155.9724
348, -156.0462
349, -156.1201
350, -156.1939
351, -156.2677
352, -156.3416
353, -156.4154
354, -156.4892
355, -156.5631
356, -156.6369
357, -156.7108
358, -156.7846
359, -156.8584
360, -156.9323
361, -157.0061
362, -157.0799
363, -157.1538
364, -157.2276
365, -157.3015
366, -157.3753
367, -157.4491
368, -157.5230
369, -157.5968
370, -157.6706
371, -157.7445
372, -157.8183
373, -157.8922
374, -157.9660
375, -158.0398
376, -158.1137
377, -158.1875
378, -158.2614
379, -158.3352
380, -158.4090
381, -158.4829
382, -158.5567
383, -158.6305
384, -158.7044
385, -158.7782
386, -158.8521
387, -158.9259
388, -158.9997
389, -159.0736
390, -159.1474
391, -159.2212
392, -159.2951
393, -159.3689
394, -159.4428
395, -159.5166
396, -159.5904
397, -159.6643
398, -159.7381
399, -159.8119
400, -159.8858
401, -159.9596
402, -160.0335
403, -160.1073
404, -160.1811
405, -160.2550
406, -160.3288
407, -160.4027
408, -160.4765
409, -160.5503
410, -160.6242
411, -160.6980
412, -160.7718
413, -160.8457
414, -160.9195
415, -160.9934
416, -161.0672
417, -161.1410
418, -161.2149
419, -161.2887
420, -161.3625
421, -161.4364
422, -161.5102
423, -161.5841
424, -161.6579
425, -161.7317
426, -161.8056
427, -161.8794
428, -161.9532
429, -162.0271
430, -162.1009
431, -162.1748
432, -162.2486
433, -162.3224
434, -162.3963
435, -162.4701
436, -162.5439
437, -162.6178
438, -162.6916
439, -162.7655
440, -162.8393
441, -162.9131
442, -162.9870
443, -163.0608
444, -163.1347
445, -163.2085
446, -163.2823
447, -163.3562
448, -163.4300
449, -163.5038
450, -163.5777
451, -163.6515
452, -163.7254
453, -163.7992
454, -163.8730
455, -163.9469
456, -164.0207
457, -164.0945
458, -164.1684
459, -164.2422
460, -164.3161
461, -164.3899
462, -164.4637
463, -164.5376
464, -164.6114
465, -164.6852
466, -164.7591
467, -164.8329
468, -164.9068
469, -164.9806
470, -165.0544
471, -165.1283
472, -165.2021
473, -165.2759
474, -165.3498
475, -165.4236
476, -165.4975
477, -165.5713
478, -165.6451
479, -165.7190
480, -165.7928
481, -165.8667
482, -165.9405
483, -166.0143
484, -166.0882
485, -166.1620
486, -166.2358
487, -166.3097
488, -166.3835
489, -166.4574
490, -166.5312
491, -166.6050
492, -166.6789
493, -166.7527
494, -166.8265
495, -166.9004
496, -166.9742
497, -167.0481
498, -167.1957
499, -166.5270
500, -165.8582
501, -165.1894
502, -164.5206
503, -163.8518
504, -163.1830
505, -162.5143
506, -161.8455
507, -161.1767
508, -160.5079
509, -159.8391
510, -159.1703
511, -158.5016
512, -157.8328
513, -157.1640
514, -156.4952
515, -155.8264
516, -155.1576
517, -154.4889
518, -153.8201
519, -153.1513
520, -152.4825
521, -151.8137
522, -151.1449
523, -150.4762
524, -149.8074
525, -149.1386
526, -148.4698
527, -147.8010
528, -147.1322
529, -146.4635
530, -145.7947
531, -145.1259
532, -144.4571
533, -143.7883
534, -143.1195
535, -142.4508
536, -141.7820
537, -141.1132
538, -140.4444
539, -139.7756
540, -139.1069
541, -138.4381
542, -137.7693
543, -137.1005
544, -136.4317
545, -135.7629
546, -135.0942
547, -134.4254
548, -133.7566
549, -133.0878
550, -132.4190
551, -131.7502
552, -131.0815
553, -130.4127
554, -129.7439
555, -129.0751
556, -128.4063
557, -127.7375
558, -127.0688
559, -126.4000
560, -125.7312
561, -125.0624
562, -124.3936
563, -123.7248
564, -123.0561
565, -122.3873
566, -121.7185
567, -121.0497
568, -120.3809
569, -119.7121
570, -119.0434
571, -118.3746
572, -117.7058
573, -117.0370
574, -116.3682
575, -115.6994
576, -115.0307
577, -114.3619
578, -113.6931
579, -113.0243
580, -112.3555
581, -111.6868
582, -111.0180
583, -110.3492
584, -109.6804
585, -109.0116
586, -108.3428
587, -107.6741
588, -107.0053
589, -106.3365
590, -105.6677
591, -104.9989
592, -104.3301
593, -103.6614
594, -102.9926
595, -102.3238
596, -101.6550
597, -100.9862
598, -100.3174
599, -99.6487
600, -98.9799
601, -98.3111
602, -97.6423
603, -96.9735
604, -96.3047
605, -95.6360
606, -94.9672
607, -94.2984
608, -93.6296
609, -92.9608
610, -92.2920
611, -91.6233
612, -90.9545
613, -90.2857
614, -89.6169
615, -88.9481
616, -88.2793
617, -87.6106
618, -86.9418
619, -86.2730
620, -85.6042
621, -84.9354
622, -84.2666
623, -83.5979
624, -82.9291
625, -82.2603
626, -81.5915
